create,創り出す
agenda,協議事項（リスト）；議事日程（表）；（政治上の）課題
mainstream,（活動・思潮などの）主流；大勢
troop,〔～s〕軍隊；集団
epidemic,流行（病）；蔓延
outbreak,発生，勃発
chaos,混沌，大混乱
nightmare,悪夢（のような状況）；不安感
horror,恐怖；強い嫌悪；嫌な物［人］
cluster,集団；（植物の）房，束
pollen,花粉
hive,ミツバチの巣（箱）；人の集まる所
irrigation,灌漑
dose,（薬の1回分の）服用量；放射線の1回の照射量
suicide,自殺；自殺的行為
feast,祝宴；大ごちそう；楽しみ
cuisine,（独特の）料理，料理法
rumor,うわさ
proverb,ことわざ（≒ saying）
signature,署名；特徴
formula,方法，解決策；公式
tuition,【主に米】 授業料（＝ 【英】tuition fees）；（個人）指導
intake,摂取量；受け入れ数；取り入れること
spectrum,スペクトル；（波動・変動の）範囲
kidney,腎臓
gear,用具（一式），器具；歯車；ギア
aisle,（座席間などの）通路
grief,深い悲しみ
destiny,運命
skull,頭骨，頭蓋骨；頭脳
tomb,墓
monk,修道士，僧（⇔ nun 修道女，尼）
worship,崇拝，礼拝（式）；賛美
outstanding,際立った；未払いの；未解決の
unprecedented,前例のない；空前の
infinite,無限の（⇔ finite 有限の）；無数の
worthwhile,価値がある；立派な
indispensable,不可欠な（⇔ dispensable なくてもすむ）
compulsory,義務的な，強制的な（⇔ voluntary ⇒ 1199）
probable,十分にありそうな
ambiguous,あいまいな；多義的な
obscure,（世に）知られていない；不明瞭な
skeptical,（～に）懐疑的な（of ⇒ about）
fragile,壊れやすい；虚弱な
static,静的な（⇔ dynamic ⇒ 1083）；動きのない
gradual,徐々の，緩やかな
vocal,声の，発声の；はっきりものを言う
vivid,鮮やかな；生き生きとした
imperial,帝国の；皇帝の
hostile,敵意のある（⇔friendly 友好的な）
superficial,表面的な
scarce,乏しい；珍しい
gross,総計の；甚だしい；粗野な
inherent,生来の，本来的に備わっている
notable,注目に値する；著名な
update,を最新のものにする；をアップデートする
refresh,（気分）をさわやかにする；（記憶など）を新たにする；を最新のものにする
bloom,花が咲く；栄える
conquer,を征服する；を克服する
induce,を引き起こす；を説得する
attain,を獲得する，達成する；に達する
spray,を吹きかける，に吹きつける
retrieve,（情報）を検索する；を取り戻す；を回復する
portray,を描く；（の役）を演じる
scratch,を引っかく；を取り消す，削除する
designate,を指定する；を任命する
contradict,と矛盾する；に反対意見を言う
sigh,ため息をつく
disrupt,を混乱させる；を分裂させる
depart,出発する；（～から）それる（from）
navigate,（を）誘導する；（を）操縦する；（を）航行する
beg,に（～を）切に頼む（for）；（を）懇願する
inhabit,に住んでいる；に宿る，存する
diagnose,（を）診断する
comprehend,を理解する
oblige,に義務づける；に恩恵を施す
cram,に詰め込む；詰め込み勉強をする
flock,群がる，集まる
underestimate,（を）過小評価する（⇔ overestimate （を）過大評価する）；（を）軽く見る；を少なく見積もる
clarify,を明確にする
spark,を引き起こす；を刺激する；スパークする
seize,をつかむ；を奪い取る；を没収する
soar,急上昇する；空高く飛ぶ
glow,光り［照り］輝く；赤く燃える；紅潮する
disguise,を（～に）変装させる（as）；を偽る
distort,を歪める；歪む
undermine,を徐々にむしばむ；を侵食する
abolish,を廃止する（≒ do away with）
strip,を［から］取り去る；を裸にする
dispose,〔dispose ofで〕を処分する；を（...する）気にさせる（to do）；を配置する
dump,を投棄する；をどさっと落とす
weave,を織る；（計画・物語など）を作り上げる
refine,を洗練する；を精製する
enrich,を豊かにする；（物質）を濃縮化する
coordinate,を調整する；を組織する；（服など）をコーディネートする
headline,（新聞などの）見出し
internship,【米】 実務［医学］研修；研修期間
outlet,直売店，特売店；はけ口；【米】（電気の）コンセント（≒ 【英】socket）
remedy,治療（法）；治療薬；解決法
pill,錠剤，丸薬；〔the ～〕ピル，経口避妊薬
reception,反応；宴会；受付；受信（状態）
transaction,（商）取引；（人と人との）交流
mutation,突然変異（体）；変化
dairy,〔集合的に〕乳製品；乳製品加工所［販売者］
compassion,同情
posture,姿勢；心構え
curse,悪態，ののしりの言葉；呪い；〔通例a ～〕災い
funeral,葬式
census,国勢調査；交通調査
encyclopedia,百科事典
cereal,〔通例～s〕穀物；シリアル（穀物加工食品）
fragment,断片
patch,（～の）部分，斑点；継ぎ；貼り薬
rubbish,【英】 ごみ（≒ 【米】garbage）；つまらないもの
maze,迷路（≒ labyrinth）；複雑に込み入ったもの
outlook,見解；見通し；眺め
breakthrough,大発見，飛躍的進歩
triumph,勝利；勝利の喜び；偉業
ally,同盟国；提携者；援助者；盟友
spectator,（試合などの）観客
sphere,領域；球体；天体
county,【米】 郡；【英】州
behalf,利益，味方
interval,（時間の）間隔；合間；隔たり；小休止
circulation,循環；流通；（新聞・雑誌の）発行部数
blade,刃；（プロペラなどの）羽根；（草などの）葉
theft,窃盗（罪）
vacuum,真空；空虚
collision,衝突；対立
bargain,買い得品；取引；契約
landmark,（ある場所の）目印；画期的な出来事
revenue,歳入（⇔ expenditure 歳出）；収益
treaty,（国家間の）条約；協定
supreme,最高の
thorough,徹底的な；まったくの
naked,裸の
sincere,心からの；誠実な
tame,飼いならされた，人に慣れた；退屈な
insufficient,不十分な；不適当な
dim,薄暗い；ぼんやりした
acute,（痛み・感情などが）激しい；（知覚などが）鋭い；急性の（⇔ chronic ⇒ 1198）
disabled,障害のある；障害者用の
metropolitan,大都市の，首都圏の
monetary,金銭的な；金融の
alternate,代わりの（≒ alternative）；交互の
partial,部分的な；不公平な（⇔impartial 公平な）
divine,神の；神にささげる
drastic,徹底的な，抜本的な；極端な
fierce,猛烈な；どう猛な
sole,唯一の；単独の；独占的な
spontaneous,自然発生的な；自発的な
spatial,空間の
neat,きちんとした；見事な
tidy,きちんとした，整頓された；相当の
loyal,（～に）忠実な（to）；誠実な
bless,に恩恵を与える；に感謝する
regain,を取り戻す
conform,順応する；一致する
enroll,登録する，入会する；を登録させる
entitle,に権利を与える；に題名をつける
halt,を止める；止まる
provoke,（感情・行動など）を引き起こす；を挑発する
invade,を侵略する；を侵害する；（場所）に殺到する
squeeze,押し入る；を押し込む；（を）搾る；（を）強く押す
crawl,はう；ゆっくり進む
digest,を消化する；を理解する；を要約する
utter,（声）を発する；（考えなど）を述べる
refrain,控える
populate,に住む，の住民である；に人を住まわせる
accommodate,を収容する；を（～に）適応させる（to）
steer,（を）操縦する；を（～へ）向ける（to）
drown,溺死する；を水浸しにする
dip,を浸す；（手など）を（～に）突っ込む（into / in）；下がる
soak,を浸す；をずぶぬれにする；浸る
stir,をかき回す；を揺り動かす
transplant,を移植する；を移住させる
reassure,を安心させる
resume,（を）再開する；を取り戻す
speculate,（と）推測する；投機する
surpass,を上回る
appoint,を任命する；（日時・場所など）を指定する
intrigue,に興味を持たせる；陰謀を企てる
decay,腐敗する（≒ rot）；（徐々に）衰える
contaminate,を汚染する；を堕落させる
swell,膨張する，腫れる；を膨らませる
delete,を削除する，消す
tolerate,を許容する，我慢する（≒ put up with）
envy,をうらやむ
pray,（を）祈る
confess,（を）告白する
resign,（を）辞任する；を放棄する
dissolve,（を）溶かす；（議会など）を解散する；（契約など）を解消する；溶ける
unfold,（閉じたもの）を開く；を明らかにする；開く；明らかになる
awaken,を目覚めさせる；（～から）覚める（from）
conceive,（を）思いつく；と想像する；（を）妊娠する
entrepreneur,起業家，事業家
stake,利害関係；〔通例～s〕賭け金；杭
surplus,余剰（⇔ shortage 不足），過剰；黒字
inflation,インフレ（ーション）；（物価の）高騰
sweatshop,搾取工場
clash,衝突；対立；かち合うこと；ガチャンという音
sociology,社会学
ideology,イデオロギー，思想傾向
margin,余白；差；利ざや
realm,領域；領土
domain,分野；領域；ドメイン（＝ domain name）
algorithm,アルゴリズム；問題解決の手順
prairie,大草原
frontier,〔通例the ～s〕最先端；〔the ～〕 【米】辺境地；国境
bullet,銃弾
shield,盾，防御物
despair,絶望
radiation,放射能，放射線
placebo,偽薬，プラシーボ；気休め
nursery,託児所；苗床
spouse,配偶者
makeup,化粧；化粧品；構成；性質
mummy,ミイラ；【英】ママ，お母さん（＝ 【米】mommy）
flesh,（人・動物の）肉；果肉
limb,手足
odor,におい；気配
laundry,洗濯（物）；クリーニング店
tide,潮（の干満）；動向
questionnaire,アンケート
nonsense,ばかげた物［話，考え］；無意味な言葉
revenge,復讐
intellect,知性；〔the ～（s）〕知識人
hospitality,親切なもてなし，歓待；受容性
librarian,司書，図書館員
manuscript,（手書きの）原稿；写本
obsession,（考えなどに）取りつかれること；妄想；強迫観念
hygiene,衛生（状態）；健康法
paradigm,理論的枠組み，パラダイム；模範
legitimate,合法的な；妥当な
authentic,本物の；信頼できる
empirical,経験的な；経験主義の
immense,膨大な
absurd,ばかげた；不合理な
weird,異様な（≒ bizarre），奇妙な
accidental,偶然の；過失による
uneasy,不安な；落ち着かない；ぎこちない
jealous,嫉妬深い；用心深い
feminine,女らしい（⇔ masculine ⇒ 1681）
swift,素早い
hollow,空洞の；空虚な；うわべだけの
crude,大まかな；粗野な；未精製の
sore,痛い；腹が立って
pessimistic,悲観的な（⇔ optimistic ⇒ 882）
vain,無駄な；うぬぼれた
susceptible,（～の）影響を受けやすい（to）；感染しやすい
edible,食用の，食べられる
sheer,純然たる，真の；すごい；（布が）薄地の
explicit,明白な（⇔ implicit ⇒ 1795）；率直な
prone,（～に）なりやすい（to）；（...する）傾向がある（to do）
affluent,裕福な；豊富な
collaborate,共同して働く；（～に）協力する（with）
exert,を及ぼす；（力など）を行使する
excel,（～で）秀でている（in / at）；に勝る
prosper,栄える，成功する；繁殖する
surge,殺到する；（感情が）こみ上げる；急騰する
intervene,（～に）介入する（in）；介在する
insert,を挿入する
overtake,を追い抜く；に追いつく（≒ catch up with）；（災難・強い感情などが）を襲う
snap,をパチンと鳴らす；をポキッと折る；ポキッと折れる；パチンと音を立てる
carve,を彫る；を切り開く；（肉）を切り分ける
addict,〔受身形で〕（～の）中毒になる（to）；（～に）凝る
condemn,を非難する；〔受身形で〕（～の刑を）宣告される（to）
convict,に有罪を宣告する
dictate,を指図する；を書き取らせる；を規定する
prescribe,（薬など）を処方する；を規定する
inhibit,を抑制する；を妨げる
stray,はぐれる，（道に）迷う
roam,（を）歩き回る；放浪する
enclose,を同封する；を取り囲む
execute,を実行する；を処刑する
coincide,同時に起こる；一致する
lag,遅れる；徐々に弱まる
cling,しがみつく；くっつく
erase,を消す
grind,（穀物など）をひく
knit,を編む；を結合する；編み物をする
inquire,（を）尋ねる
betray,をうっかり表す；を裏切る
leak,漏れる；を漏らす
smash,を粉砕する；を強打する；粉々に壊れる；激突する
bounce,跳ねる；反射する；を弾ませる；（Ｅメールが）（宛先不明で）返送される
sprawl,（都市などが）不規則に広がる；だらしなく手足を伸ばす
converse,（～と）会話をする（with）
recite,を暗唱する；を詳述する
disregard,を無視する；を軽視する
frown,眉をひそめる
evoke,を呼び起こす
pledge,を誓う，約束する；を与えることを約束する
aspire,（～を）熱望する（to）
contemplate,（を）熟考する；を予想する
grace,優美，優雅；分別；（神の）恩寵
enlightenment,啓蒙，啓発
commerce,商業；貿易
draft,下書き；為替手形；隙間風
barrel,バレル（液量の単位）；たる
timber,【英】 木材（≒ 【米】lumber）；樹木
garment,衣服
thread,糸；（議論などの）筋道
cabinet,〔しばしばthe C-〕内閣；戸棚
bureau,（官庁の）局；事務局；案内所
autonomy,（個人の）自律；自治（権）；自治体
toll,損害（の程度）；死傷者数；通行料
discourse,話し合い，会話；講演；論説
superstition,迷信
glimpse,ちらりと見えること
arithmetic,計算；算数
glossary,用語小辞典；用語集
archive,〔しばしば～s〕記録文書，公文書；公文書保管所；（コンピューターの）アーカイブ
legacy,遺産
anthropology,人類学
rage,激怒；猛威
sorrow,悲しみ
psychiatrist,精神科医
ward,行政区；病棟
stall,露店；エンスト；失速
flame,炎；情熱
moisture,水分；湿気
irony,皮肉
warrior,戦士
astronomy,天文学
probe,（無人）宇宙探査機；（～の）精査（into）；探り針
altitude,高度，標高
tumor,腫瘍；腫れ物
defect,欠陥；不足
sanitation,公衆衛生（学）；下水［衛生］設備
longevity,長寿；寿命；長年勤続
scope,（活動・能力などの）範囲；余地
sentiment,感情；感想；感傷
plausible,もっともらしい
vigorous,精力的な；激しい；活力のある
masculine,男らしい（⇔ feminine ⇒ 1588）
rigid,厳しい；硬直した
adverse,不都合な；逆の
coherent,一貫した，筋の通った；結束した
literal,文字どおりの；逐語的な；散文的な
arbitrary,恣意的な；独断的な
anonymous,匿名の
antique,骨董の，アンティークの；古風な
eternal,永遠の；不変の
intermediate,中級の；中間の
subordinate,（～より）下位の（to）；副次的な
gloomy,陰気な；薄暗い；悲観的な
thermal,熱の，熱による；保温用の
faint,かすかな；めまいがする；弱々しい
naive,お人よしの，愚直な；純朴な
apt,（...する）傾向がある（to do）；適切な；利発な
arrogant,横柄な，傲慢な
extrovert,外向的な；社交的な
conspicuous,目立つ
intact,損なわれていない，手つかずの
embody,を具現する；を包含する
illuminate,を照らす；を解明する
console,を慰める
verify,の正しさを証明［確認］する
disclose,を公表する，暴く
stack,を積む，積み重ねる；〔～ upで〕（車が）渋滞する
rotate,回転する；循環する；を回転させる
constrain,に（...することを）強いる（to do）；を抑える
hinder,を妨げる
withstand,に耐える
tweet,（を）ツイートする，つぶやく
sneeze,くしゃみをする
erupt,（火山が）噴火する；勃発する
blur,をぼかす；を曇らせる；をあいまいにする
overlap,（一部）重なる；（と）重複［共通］する
embed,〔通例受身形で〕埋め込まれる，はめ込まれる
displace,に取って代わる（≒ replace）；を移動させる
render,を（ある状態に）する；（援助など）を与える
plunge,（～に）（を）突っ込む（into）；没頭する；陥る
surrender,を放棄する，引き渡す；（～に）屈する（to）
plug,〔plug inで〕のプラグを電源に差し込む；を（～で）ふさぐ（with）
suck,（を）吸う；（を）しゃぶる
mock,をばかにする（≒ make fun of）；のまねをしてからかう
tease,（を）からかう；をいじめる
soothe,をなだめる；を和らげる
stain,を汚す；に着色する
shun,を避ける
stumble,よろけながら歩く；（～に）つまずく（on / over）
flush,を紅潮させる；を水で流す；紅潮する
impair,を損なう
presume,と思う；と推定する；を前提とする
contend,と主張する；競う
roar,うなる，ほえる；大笑いする
haunt,（記憶・考えなどが）につきまとう；（幽霊などが）に出る；によく行く
divert,（注意など）をそらす；を迂回させる；（資金など）を転用する
await,を待つ（≒ wait for）
fetch,を（行って）持って［連れて］くる
unify,を統合［統一］する；統一される
inspect,を点検する；を視察する
entail,を伴う，引き起こす；（...すること）を含む（doing）
tactics,作戦，方策；戦術，戦法
feat,偉業，功績；妙技
prestige,名声；〔形容詞的に〕名声のある
analogy,類推；類似
conscience,良心；分別
textile,織物；繊維（産業）
deficit,赤字，不足；欠陥
plague,疫病；（害虫などの）異常発生
hazard,危険（要素）；偶然
metabolism,（新陳）代謝，代謝作用
paralysis,麻痺；〔比喩的に〕麻痺（状態）
grid,（電気などの）供給網；格子（模様）；碁盤目
carriage,馬車；車両（＝ 【米】car）；立ち居振舞い；【英】輸送
friction,不和；摩擦
rebel,反逆者
regime,政権，政体；体制
monopoly,独占（権）
staple,必需食品；主要産物
merchandise,商品
vendor,物売り，行商人；自動販売機
supervisor,監督者；指導教員
predecessor,前任者（⇔ successor 後継者）；前のもの
personnel,〔集合的に〕職員，社員
vessel,船舶；容器；（体液が通る）脈管
liver,肝臓
duration,（時間の）継続，持続（時間）
certificate,証明書；免許状
geometry,幾何学
symmetry,（左右）対称（⇔ asymmetry 非対称）；調和
biography,伝記
masterpiece,傑作
rhyme,押韻詩；韻；〔通例～s〕詩歌
premium,保険料；プレミア；景品
breakdown,崩壊；（神経）衰弱；故障；内訳
courtesy,礼儀正しさ；好意；優遇
protocol,（条約）議定書；外交儀礼；プロトコル
specimen,標本；実例
thesis,論文；命題，テーゼ
eligible,適格の，資格のある；（結婚相手として）望ましい
intrinsic,固有の，本質的な（⇔ extrinsic 非本質的な）
diligent,勤勉な；入念な
vocational,職業の，職業訓練の（ための）
bankrupt,破産宣告を受けた；破綻している
stern,厳しい；いかめしい
stubborn,頑固な，強情な（≒ obstinate）；手に負えない
maternal,母の，母親らしい（⇔ paternal 父の）；妊婦の
fertile,肥沃な（⇔ barren 不毛の）；多産の
ripe,熟した；成熟した
stiff,硬直した，凝った；堅い
obsolete,廃れた，使われなくなった；古くなった
vacant,空いている
acoustic,音響の；聴覚の；（楽器が）アコースティックの
preliminary,予備の，準備の
approximate,おおよその
implicit,暗黙の（⇔ explicit ⇒ 1598）；内在する
punctual,時間を守る
compatible,矛盾しない；互換性のある；気が合う
ample,十分すぎるほどの；広い
pervasive,隅々に広がった；浸透する；充満する
ubiquitous,至る所にある
deduce,を推測する，演繹する
simulate,を模擬実験する；を装う；をまねる
merge,（を）合併する；を融合させる；溶け込む
penetrate,（に）浸透する；（に）進出する；（を）貫く；（を）見抜く
cater,（の）料理をまかなう；（要望などに）応える
assault,に暴行する；を攻撃する
torture,を拷問にかける；を苦しめる
bleed,出血する
erect,を建てる；を直立させる
cherish,を大切にする；を心に抱く
arouse,（感情など）を引き起こす；を目覚めさせる
doom,〔通例受身形で〕運命にある
mourn,（を）悼む（≒ grieve）；（を）嘆く
dread,をひどく恐れる
nourish,に栄養を与える；をはぐくむ
inject,（人）に注射する，を注入する；を導入する
swear,（～を）ののしる（at）；（を）誓う（≒ vow）
bid,（～に）の値をつける（for ⇒ on）；（挨拶）を述べる
corrupt,を堕落させる；を買収する；堕落する
preoccupy,の心を奪う，を夢中にさせる
browse,（を）拾い読みする；（を）閲覧する；（商品など）を見て歩く
compile,を編集する；（資料など）をまとめる
allocate,を割り当てる，分配する
offset,を相殺する，埋め合わせる；をオフセット印刷にする
restrain,を制止する；を規制する
comply,従う，応じる
expire,期限が切れる
embark,（～に）乗り出す（on）；乗船［搭乗］する
flap,パタパタ動く；羽ばたく（≒ flutter）；をパタパタ動かす
furnish,に（～を）備えつける（with）
forge,を偽造する；（関係など）を築く；を鍛造する
thrust,を押しつける；を突き刺す；押し進む
dispatch,を派遣する；を発送する；を処理する
resent,に憤慨する
reconcile,を（～と）一致させる（with）；を和解させる
allege,を主張する
oppress,を抑圧［迫害］する；を悩ませる
expel,を追放する；を吐き出す
ascend,（を）上がる（⇔ descend ⇒ 1337）
commence,始まる；を開始する；...し始める（to do / doing）⇒ commence work 仕事［作業］を始める
advent,〔the ～〕出現，到来
reign,治世；統治
diplomacy,外交（的手腕）
embassy,大使館；大使一行
exile,亡命（者）；（国外）追放
refuge,避難（所）；保護
plight,窮状（＝ predicament）；（悪い）状態
solitude,ひとりでいること；孤独
fallacy,誤った考え，誤信；錯誤
latitude,緯度；（行動・思想などの）許容範囲
eclipse,（日食・月食などの）食；（名声などの）失墜
basin,流域；盆地，海盆；洗面器［台］
erosion,浸食；衰退
archaeology,考古学
errand,（人の）使い，使い走り；用件
mercy,慈悲；〔通例a ～〕幸運
rhetoric,修辞（法）；美辞麗句
verse,韻文（⇔ prose 散文）；詩
congestion,混雑
sewage,下水
complement,（～の）補完物，補足（to）；（文法の）補語
subsidy,補助金；報奨金
mortgage,住宅ローン；抵当（権）
attorney,【米】 弁護士；代理人
outfit,衣装一式；装備［道具］一式；組織
bulk,〔the ～〕（～の）大半（of）；大きさ；大量
reunion,再会（の集い）；再結合
synthesis,合成；総合（⇔ analysis ⇒ 363）
mold,鋳型；鋳物；性格；かび
thirst,（のどの）渇き；（～に対する）渇望（for）
greed,強欲
bribe,賄賂
contempt,軽蔑；恥辱
texture,感触，手触り；本質；質感
orphan,孤児
harassment,嫌がらせ，ハラスメント
hay,干し草
doctrine,教義；【米】（政策上の）主義
holistic,全体論の；（医療が）ホリスティックの
liable,しがちな；（～を）受けやすい（to）；責任がある
earnest,まじめな，熱心な
intelligible,（簡単に）理解できる
abrupt,突然の（≒ sudden）
reckless,無謀な；（～を）顧みない（of）
furious,激怒した；猛烈な
eloquent,雄弁な；説得力のある
juvenile,青少年の
notorious,悪名高い（≒ infamous）
timid,臆病な；内気な
humid,湿気のある（≒ muggy 蒸し暑い）
contagious,感染（性）の；病気を伝染する
cynical,冷笑的な，皮肉な
dumb,ばかげた；口のきけない；無言の
monotonous,単調な
perpetual,永続的な；ひっきりなしの
dizzy,目まいがする；当惑した
weary,疲れ果てた；（～に）うんざりした（of）
numb,麻痺した，無感覚な；ぼう然とした
mortal,致命的な（≒ fatal）；死すべき（運命の）（⇔ immortal 不死の）
zealous,熱心な
